,Country.Name,Country.Code,Indicator.Name,Indicator.Code,Year,CO2.Emission
181,Greece,GRC,CO2 emissions (kt),EN.ATM.CO2E.KT,2005,98675.303
182,Croatia,HRV,CO2 emissions (kt),EN.ATM.CO2E.KT,2005,22592.387
183,Hungary,HUN,CO2 emissions (kt),EN.ATM.CO2E.KT,2005,58019.274
184,Ireland,IRL,CO2 emissions (kt),EN.ATM.CO2E.KT,2005,43538.291
185,Italy,ITA,CO2 emissions (kt),EN.ATM.CO2E.KT,2005,473384.031
186,Lithuania,LTU,CO2 emissions (kt),EN.ATM.CO2E.KT,2005,13901.597
187,Luxembourg,LUX,CO2 emissions (kt),EN.ATM.CO2E.KT,2005,11547.383
188,Latvia,LVA,CO2 emissions (kt),EN.ATM.CO2E.KT,2005,7506.349
189,Malta,MLT,CO2 emissions (kt),EN.ATM.CO2E.KT,2005,2698.912
190,Netherlands,NLD,CO2 emissions (kt),EN.ATM.CO2E.KT,2005,181479.83
191,Poland,POL,CO2 emissions (kt),EN.ATM.CO2E.KT,2005,302538.501
192,Portugal,PRT,CO2 emissions (kt),EN.ATM.CO2E.KT,2005,65279.934
193,Romania,ROU,CO2 emissions (kt),EN.ATM.CO2E.KT,2005,96456.768
194,Slovak Republic,SVK,CO2 emissions (kt),EN.ATM.CO2E.KT,2005,39357.911
195,Slovenia,SVN,CO2 emissions (kt),EN.ATM.CO2E.KT,2005,15867.109
196,Sweden,SWE,CO2 emissions (kt),EN.ATM.CO2E.KT,2005,51561.687
197,Austria,AUT,CO2 emissions (kt),EN.ATM.CO2E.KT,2006,72162.893
198,Belgium,BEL,CO2 emissions (kt),EN.ATM.CO2E.KT,2006,107072.733
199,Bulgaria,BGR,CO2 emissions (kt),EN.ATM.CO2E.KT,2006,48991.12
200,Cyprus,CYP,CO2 emissions (kt),EN.ATM.CO2E.KT,2006,7788.708
201,Czech Republic,CZE,CO2 emissions (kt),EN.ATM.CO2E.KT,2006,122107.433
202,Germany,DEU,CO2 emissions (kt),EN.ATM.CO2E.KT,2006,816472.218
203,Denmark,DNK,CO2 emissions (kt),EN.ATM.CO2E.KT,2006,54986.665
204,Spain,ESP,CO2 emissions (kt),EN.ATM.CO2E.KT,2006,350037.152
205,Estonia,EST,CO2 emissions (kt),EN.ATM.CO2E.KT,2006,16175.137
