,Country.Name,Country.Code,Indicator.Name,Indicator.Code,Year,CO2.Emission.PC
174,Germany,DEU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2005,9.666372234
175,Denmark,DNK,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2005,8.690076931
176,Spain,ESP,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2005,8.097058048
177,Estonia,EST,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2005,12.36701519
178,Finland,FIN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2005,10.41643805
179,France,FRA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2005,6.099598855
180,United Kingdom,GBR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2005,8.982938536
181,Greece,GRC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2005,8.980839448
182,Croatia,HRV,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2005,5.086084421
183,Hungary,HUN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2005,5.751848927
184,Ireland,IRL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2005,10.4661517
185,Italy,ITA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2005,8.166090128
186,Lithuania,LTU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2005,4.184042091
187,Luxembourg,LUX,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2005,24.82464668
188,Latvia,LVA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2005,3.352846325
189,Malta,MLT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2005,6.683221324
190,Netherlands,NLD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2005,11.12017757
191,Poland,POL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2005,7.927026686
192,Portugal,PRT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2005,6.215165476
193,Romania,ROU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2005,4.524305495
194,Slovak Republic,SVK,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2005,7.325390806
195,Slovenia,SVN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2005,7.931674693
196,Sweden,SWE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2005,5.710313512
197,Austria,AUT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2006,8.727297872
198,Belgium,BEL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2006,10.151039
199,Bulgaria,BGR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2006,6.445333272
200,Cyprus,CYP,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2006,7.449680491
201,Czech Republic,CZE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2006,11.92582928
202,Germany,DEU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2006,9.911476012
203,Denmark,DNK,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2006,10.11291416
204,Spain,ESP,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2006,7.88419571
205,Estonia,EST,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2006,12.00996206
206,Finland,FIN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2006,12.57063845
207,France,FRA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2006,5.906266386
208,United Kingdom,GBR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2006,8.89871022
209,Greece,GRC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2006,8.827796219
210,Croatia,HRV,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2006,5.091679054
211,Hungary,HUN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2006,5.698187039
212,Ireland,IRL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2006,10.0993731
213,Italy,ITA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2006,8.072145596
214,Lithuania,LTU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2006,4.329871871
