,Country.Name,Country.Code,Indicator.Name,Indicator.Code,Year,Life.Exp
115,Bulgaria,BGR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2003,72.06585366
116,Cyprus,CYP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2003,78.386
117,Czech Republic,CZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2003,75.17073171
118,Germany,DEU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2003,78.3804878
119,Denmark,DNK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2003,77.14390244
120,Spain,ESP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2003,79.6195122
121,Estonia,EST,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2003,71.31707317
122,Finland,FIN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2003,78.36829268
123,France,FRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2003,79.11463415
124,United Kingdom,GBR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2003,78.44634146
125,Greece,GRC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2003,78.84146341
126,Croatia,HRV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2003,74.61390244
127,Hungary,HUN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2003,72.3
128,Ireland,IRL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2003,78.13902439
129,Italy,ITA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2003,79.98292683
130,Lithuania,LTU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2003,72.06097561
131,Luxembourg,LUX,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2003,77.72682927
132,Latvia,LVA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2003,71.26585366
133,Malta,MLT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2003,78.54634146
134,Netherlands,NLD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2003,78.49268293
135,Poland,POL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2003,74.59756098
136,Portugal,PRT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2003,77.2195122
137,Romania,ROU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2003,71.3097561
138,Slovak Republic,SVK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2003,73.60487805
139,Slovenia,SVN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2003,76.85853659
140,Sweden,SWE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2003,80.09512195
141,Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2004,79.1804878
142,Belgium,BEL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2004,78.87804878
143,Bulgaria,BGR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2004,72.56341463
144,Cyprus,CYP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2004,78.506
145,Czech Republic,CZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2004,75.72195122
146,Germany,DEU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2004,78.6804878
147,Denmark,DNK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2004,77.49268293
148,Spain,ESP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2004,79.87073171
149,Estonia,EST,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2004,71.9097561
150,Finland,FIN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2004,78.71463415
151,France,FRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2004,80.16341463
152,United Kingdom,GBR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2004,78.74634146
153,Greece,GRC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2004,79.03902439
154,Croatia,HRV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2004,75.5202439
155,Hungary,HUN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2004,72.64878049
156,Ireland,IRL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2004,78.53902439
157,Italy,ITA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2004,80.7804878
158,Lithuania,LTU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2004,71.96097561
159,Luxembourg,LUX,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2004,79.12195122
160,Latvia,LVA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2004,72.02682927
161,Malta,MLT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2004,79.25365854
162,Netherlands,NLD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2004,79.09512195
163,Poland,POL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2004,74.84634146
164,Portugal,PRT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2004,77.67073171
165,Romania,ROU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2004,71.59427561
166,Slovak Republic,SVK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2004,73.95853659
167,Slovenia,SVN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2004,77.20731707
168,Sweden,SWE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2004,80.49756098
169,Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2005,79.33170732
170,Belgium,BEL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2005,78.9804878
171,Bulgaria,BGR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2005,72.56097561
172,Cyprus,CYP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2005,78.631
173,Czech Republic,CZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2005,75.92439024
174,Germany,DEU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2005,78.93170732
175,Denmark,DNK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2005,77.84390244
176,Spain,ESP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2005,80.17073171
177,Estonia,EST,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2005,72.56829268
178,Finland,FIN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2005,78.81707317
179,France,FRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2005,80.16341463
180,United Kingdom,GBR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2005,79.04878049
181,Greece,GRC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2005,79.23902439
182,Croatia,HRV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2005,75.24463415
183,Hungary,HUN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2005,72.64878049
184,Ireland,IRL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2005,78.94390244
185,Italy,ITA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2005,80.78292683
186,Lithuania,LTU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2005,71.25365854
187,Luxembourg,LUX,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2005,79.43170732
188,Latvia,LVA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2005,71.35609756
189,Malta,MLT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2005,79.3
190,Netherlands,NLD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2005,79.34634146
191,Poland,POL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2005,74.99512195
192,Portugal,PRT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2005,78.07073171
193,Romania,ROU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2005,71.87889512
194,Slovak Republic,SVK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2005,73.90487805
195,Slovenia,SVN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2005,77.61219512
196,Sweden,SWE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2005,80.54634146
197,Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2006,79.8804878
198,Belgium,BEL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2006,79.3804878
199,Bulgaria,BGR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2006,72.61219512
200,Cyprus,CYP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2006,78.764
201,Czech Republic,CZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2006,76.52439024
202,Germany,DEU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2006,79.13170732
203,Denmark,DNK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2006,78.09512195
204,Spain,ESP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2006,80.82195122
205,Estonia,EST,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2006,72.69146341
206,Finland,FIN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2006,79.21463415
207,France,FRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2006,80.81219512
208,United Kingdom,GBR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2006,79.24878049
209,Greece,GRC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2006,79.43902439
210,Croatia,HRV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2006,75.83682927
211,Hungary,HUN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2006,73.09756098
212,Ireland,IRL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2006,79.24146341
213,Italy,ITA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2006,81.28292683
214,Lithuania,LTU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2006,71.05609756
215,Luxembourg,LUX,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2006,79.28780488
216,Latvia,LVA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2006,70.86585366
217,Malta,MLT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2006,79.43902439
218,Netherlands,NLD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2006,79.69756098
219,Poland,POL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2006,75.14390244
220,Portugal,PRT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2006,78.4195122
221,Romania,ROU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2006,72.16341463
222,Slovak Republic,SVK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2006,74.20487805
223,Slovenia,SVN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2006,78.08658537
224,Sweden,SWE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2006,80.74878049
225,Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2007,80.1804878
226,Belgium,BEL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2007,79.78292683
227,Bulgaria,BGR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2007,72.66341463
228,Cyprus,CYP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2007,78.911
229,Czech Republic,CZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2007,76.72439024
230,Germany,DEU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2007,79.53414634
231,Denmark,DNK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2007,78.19512195
232,Spain,ESP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2007,80.87317073
233,Estonia,EST,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2007,72.81463415
234,Finland,FIN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2007,79.26341463
235,France,FRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2007,81.11219512
236,United Kingdom,GBR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2007,79.44878049
237,Greece,GRC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2007,79.43902439
238,Croatia,HRV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2007,75.70560976
239,Hungary,HUN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2007,73.15121951
240,Ireland,IRL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2007,79.64146341
241,Italy,ITA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2007,81.43414634
242,Lithuania,LTU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2007,70.9
243,Luxembourg,LUX,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2007,79.38292683
244,Latvia,LVA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2007,71.0195122
245,Malta,MLT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2007,79.79268293
246,Netherlands,NLD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2007,80.09756098
247,Poland,POL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2007,75.24390244
248,Portugal,PRT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2007,78.32195122
249,Romania,ROU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2007,72.56585366
250,Slovak Republic,SVK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2007,74.20731707
251,Slovenia,SVN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2007,78.56097561
252,Sweden,SWE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2007,80.9
253,Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2008,80.43170732
254,Belgium,BEL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2008,79.6804878
255,Bulgaria,BGR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2008,72.96341463
256,Cyprus,CYP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2008,79.071
257,Czech Republic,CZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2008,76.97560976
258,Germany,DEU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2008,79.73658537
259,Denmark,DNK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2008,78.44634146
260,Spain,ESP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2008,81.17560976
261,Estonia,EST,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2008,73.77073171
262,Finland,FIN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2008,79.56829268
263,France,FRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2008,81.21463415
264,United Kingdom,GBR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2008,79.6
265,Greece,GRC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2008,79.93902439
266,Croatia,HRV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2008,75.91219512
267,Hungary,HUN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2008,73.70243902
268,Ireland,IRL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2008,80.09512195
269,Italy,ITA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2008,81.48536585
270,Lithuania,LTU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2008,71.81219512
271,Luxembourg,LUX,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2008,80.53902439
272,Latvia,LVA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2008,72.4195122
273,Malta,MLT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2008,79.63658537
274,Netherlands,NLD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2008,80.25121951
275,Poland,POL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2008,75.54390244
276,Portugal,PRT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2008,78.52439024
277,Romania,ROU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2008,72.56585366
278,Slovak Republic,SVK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2008,74.70487805
279,Slovenia,SVN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2008,78.76585366
280,Sweden,SWE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2008,81.1
281,Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2009,80.33170732
282,Belgium,BEL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2009,80.03414634
283,Bulgaria,BGR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2009,73.41219512
284,Cyprus,CYP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2009,79.245
285,Czech Republic,CZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2009,77.07804878
286,Germany,DEU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2009,79.83658537
287,Denmark,DNK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2009,78.59756098
288,Spain,ESP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2009,81.47560976
289,Estonia,EST,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2009,74.82439024
290,Finland,FIN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2009,79.7195122
291,France,FRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2009,81.41463415
292,United Kingdom,GBR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2009,80.05121951
293,Greece,GRC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2009,80.18780488
294,Croatia,HRV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2009,76.16829268
295,Hungary,HUN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2009,73.90487805
296,Ireland,IRL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2009,80.1902439
297,Italy,ITA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2009,81.63658537
298,Lithuania,LTU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2009,72.91463415
299,Luxembourg,LUX,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2009,80.63658537
300,Latvia,LVA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2009,73.0804878
301,Malta,MLT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2009,80.24146341
302,Netherlands,NLD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2009,80.54878049
303,Poland,POL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2009,75.69512195
304,Portugal,PRT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2009,78.72682927
305,Romania,ROU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2009,73.3097561
306,Slovak Republic,SVK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2009,74.9097561
