,Country.Name,Country.Code,Indicator.Name,Indicator.Code,Year,Population
352,Ireland,IRL,"Population, total",SP.POP.TOTL,2011,4580084
353,Italy,ITA,"Population, total",SP.POP.TOTL,2011,59379449
354,Lithuania,LTU,"Population, total",SP.POP.TOTL,2011,3028115
355,Luxembourg,LUX,"Population, total",SP.POP.TOTL,2011,518347
356,Latvia,LVA,"Population, total",SP.POP.TOTL,2011,2059709
357,Malta,MLT,"Population, total",SP.POP.TOTL,2011,416268
358,Netherlands,NLD,"Population, total",SP.POP.TOTL,2011,16693074
359,Poland,POL,"Population, total",SP.POP.TOTL,2011,38063255
360,Portugal,PRT,"Population, total",SP.POP.TOTL,2011,10557560
361,Romania,ROU,"Population, total",SP.POP.TOTL,2011,20147528
362,Slovak Republic,SVK,"Population, total",SP.POP.TOTL,2011,5398384
363,Slovenia,SVN,"Population, total",SP.POP.TOTL,2011,2052843
364,Sweden,SWE,"Population, total",SP.POP.TOTL,2011,9449213
365,Austria,AUT,"Population, total",SP.POP.TOTL,2012,8429991
366,Belgium,BEL,"Population, total",SP.POP.TOTL,2012,11128246
367,Bulgaria,BGR,"Population, total",SP.POP.TOTL,2012,7305888
368,Cyprus,CYP,"Population, total",SP.POP.TOTL,2012,1135062
369,Czech Republic,CZE,"Population, total",SP.POP.TOTL,2012,10510785
370,Germany,DEU,"Population, total",SP.POP.TOTL,2012,80425823
371,Denmark,DNK,"Population, total",SP.POP.TOTL,2012,5591572
372,Spain,ESP,"Population, total",SP.POP.TOTL,2012,46773055
373,Estonia,EST,"Population, total",SP.POP.TOTL,2012,1322696
374,Finland,FIN,"Population, total",SP.POP.TOTL,2012,5413971
375,France,FRA,"Population, total",SP.POP.TOTL,2012,65659789
376,United Kingdom,GBR,"Population, total",SP.POP.TOTL,2012,63700300
377,Greece,GRC,"Population, total",SP.POP.TOTL,2012,11045011
378,Croatia,HRV,"Population, total",SP.POP.TOTL,2012,4267558
379,Hungary,HUN,"Population, total",SP.POP.TOTL,2012,9920362
380,Ireland,IRL,"Population, total",SP.POP.TOTL,2012,4599533
